Time,IL2,Rede,Bus,HIL0 digital input 29
0.033813,1.6408205,308.01807,400.0,1
0.033814,1.6398958,308.00165,400.0,1
0.033815,1.6397086,307.98523,400.0,1
0.033816,1.6404501,307.96857,400.0,1
0.033817,1.6418858,307.95215,400.0,1
0.033818,1.6441822,307.9355,400.0,1
0.033819,1.6450224,307.91907,400.0,1
0.03382,1.6442486,307.9024,400.0,1
0.033821,1.6427847,307.886,400.0,1
0.033822,1.6411202,307.86893,400.0,1
0.033823,1.6396497,307.85153,400.0,1
0.033824,1.6386873,307.8344,400.0,1
0.033825,1.6384786,307.817,400.0,1
0.033826,1.6392127,307.79987,400.0,1
0.033827,1.6405252,307.78244,400.0,1
0.033828,1.6428089,307.76532,400.0,1
0.033829,1.6435944,307.7479,400.0,1
0.03383,1.6426544,307.73077,400.0,1
0.033831,1.6410102,307.71362,400.0,1
0.033832,1.639157,307.6962,400.0,1
0.033833,1.6374943,307.6791,400.0,1
0.033834,1.6363399,307.66168,400.0,1
0.033835,1.6359433,307.64453,400.0,1
0.033836,1.6364957,307.62714,400.0,1
0.033837,1.637599,307.61,400.0,1
0.033838,1.6396313,307.59244,400.0,1
0.033839,1.6403329,307.5746,400.0,1
0.03384,1.6392876,307.55673,400.0,1
0.033841,1.6376104,307.53857,400.0,1
0.033842,1.6357847,307.52072,400.0,1
0.033843,1.6341994,307.50256,400.0,1
0.033844,1.6331636,307.4847,400.0,1
0.033845,1.6329191,307.46658,400.0,1
0.033846,1.6336509,307.44873,400.0,1
0.033847,1.6347696,307.43085,400.0,1
0.033848,1.6369632,307.4127,400.0,1
0.033849,1.6380012,307.39484,400.0,1
0.03385,1.6371162,307.3767,400.0,1
0.033851,1.635625,307.35886,400.0,1
0.033852,1.6340053,307.3407,400.0,1
0.033853,1.6326412,307.32285,400.0,1
0.033854,1.6318381,307.3047,400.0,1
0.033855,1.6318341,307.28644,400.0,1
0.033856,1.6328113,307.26788,400.0,1
0.033857,1.6339501,307.249,400.0,1
0.033858,1.6363838,307.2304,400.0,1
0.033859,1.6377183,307.21152,400.0,1
0.03386,1.636901,307.19296,400.0,1
0.033861,1.6354471,307.17407,400.0,1
0.033862,1.6338408,307.1555,400.0,1
0.033863,1.6324714,307.1369,400.0,1
0.033864,1.6316487,307.11804,400.0,1
0.033865,1.6316143,307.09946,400.0,1
0.033866,1.6325536,307.08057,400.0,1
0.033867,1.6335264,307.06198,400.0,1
0.033868,1.6358937,307.0431,400.0,1
0.033869,1.637152,307.02454,400.0,1
0.03387,1.6361156,307.0056,400.0,1
0.033871,1.6344172,306.98706,400.0,1
0.033872,1.6325494,306.96753,400.0,1
0.033873,1.6309091,306.94824,400.0,1
0.033874,1.6298115,306.92892,400.0,1
0.033875,1.6295035,306.9093,400.0,1
0.033876,1.6301742,306.89,400.0,1
0.033877,1.6318907,306.8704,400.0,1
0.033878,1.6327933,306.8511,400.0,1
0.033879,1.6331763,306.83148,400.0,1
0.03388,1.6318859,306.81216,400.0,1
0.033881,1.6302258,306.79288,400.0,1
0.033882,1.6286321,306.77325,400.0,1
0.033883,1.6274536,306.75397,400.0,1
0.033884,1.626965,306.73434,400.0,1
0.033885,1.6273794,306.71506,400.0,1
0.033886,1.6288568,306.69543,400.0,1
0.033887,1.6314267,306.67612,400.0,1
0.033888,1.6334695,306.65637,400.0,1
0.033889,1.6338483,306.63632,400.0,1
0.03389,1.6331736,306.61633,400.0,1
0.033891,1.632007,306.59595,400.0,1
0.033892,1.6308035,306.57596,400.0,1
0.033893,1.6299278,306.5556,400.0,1
0.033894,1.6296684,306.53558,400.0,1
0.033895,1.6302494,306.51523,400.0,1
0.033896,1.6318408,306.4952,400.0,1
0.033897,1.6344671,306.4752,400.0,1
0.033898,1.6364528,306.45483,400.0,1
0.033899,1.6367272,306.4348,400.0,1
0.0339,1.6359447,306.41446,400.0,1
0.033901,1.6346676,306.39444,400.0,1
0.033902,1.6333512,306.37408,400.0,1
0.033903,1.6323607,306.3541,400.0,1
0.033904,1.6319848,306.33374,400.0,1
0.033905,1.6324481,306.31332,400.0,1
0.033906,1.6339207,306.29257,400.0,1
0.033907,1.6364,306.2715,400.0,1
0.033908,1.6381468,306.25076,400.0,1
0.033909,1.6381572,306.22968,400.0,1
0.03391,1.6371428,306.20892,400.0,1
0.033911,1.6356608,306.18784,400.0,1
0.033912,1.6341625,306.16708,400.0,1
0.033913,1.6330098,306.14603,400.0,1
0.033914,1.6324885,306.12527,400.0,1
0.033915,1.6328207,306.10455,400.0,1
0.033916,1.6341746,306.08347,400.0,1
0.033917,1.6365097,306.0627,400.0,1
0.033918,1.6380416,306.04166,400.0,1
0.033919,1.6377711,306.0209,400.0,1
0.03392,1.6364603,305.99982,400.0,1
0.033921,1.6346728,305.97906,400.0,1
0.033922,1.6328654,305.9577,400.0,1
0.033923,1.6314042,305.93588,400.0,1
0.033924,1.6305788,305.91443,400.0,1
0.033925,1.6306145,305.8926,400.0,1
0.033926,1.6316819,305.87115,400.0,1
0.033927,1.6337131,305.84933,400.0,1
0.033928,1.634952,305.82788,400.0,1
0.033929,1.6344235,305.80606,400.0,1
0.03393,1.6329396,305.7846,400.0,1
0.033931,1.6310503,305.76315,400.0,1
0.033932,1.6292013,305.7413,400.0,1
0.033933,1.6277487,305.71985,400.0,1
